Subject,Start Date,Start Time,End Date,All Day Event,Description,Location,Private
"Rosie Holt: That's Politainment!",04/12/2024,8:00 PM,04/12/2024,False,"Rosie is back with another hilariously poignant show!\nPrice: ['Full Price �22.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/rosie-holt-that-s-politainment \n\nRecorded at 2023-12-31 17:06:55.581767","Corn Exchange Auditorium",False
"Create Your Own Scribble Monster T-shirt",04/12/2024,10:00 AM,04/12/2024,False,"Let your imagination run wild and create your own T-shirt design with illustrator & graphic designer Mark Bijak.\nPrice: ['Full Price �25 per child']\nDetails: https://cornexchangenew.com/event/create-your-own-scribble-monster-t-shirt-3 \n\nRecorded at 2023-12-31 17:06:56.022954","The Base, The Lookout Studio",False
"Shape of You: The Music of Ed Sheeran",04/12/2024,2:00 PM,04/12/2024,False,"Come and watch a show like no other, and sing along to Ed Sheeran�s biggest hits!\nPrice: ['Full Price �26', 'Concessions Price �23', 'Under 16s �16                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/shape-of-you-the-music-of-ed-sheeran \n\nRecorded at 2023-12-31 17:06:57.037015","Corn Exchange Auditorium",False
"Cocktail Club - Spring 2024",02/15/2024,7:00 PM,04/13/2024,False,"Join the cocktail club for an evening tipple or two!\nPrice: ['Full Price �29 (includes 3 cocktails)', '�24                    (INCLUDES 2 COCKTAILS)', '�15                    (INCLUDES 1 COCKTAIL)', '�6                    (ENTRY ONLY)']\nDetails: https://cornexchangenew.com/event/cocktail-club-2024 \n\nRecorded at 2023-12-31 17:06:57.480505","Corn Exchange, Balcony Bar",False
"Wildlife Photographer of the Year 59",03/01/2024,10:00 AM,04/14/2024,False,"The 59th instalment of the world-renowned exhibition, on loan from the Natural History Museum in London, comes to The Base this spring.\nPrice: ['Base Pass Holder �0*', 'Full Price �10.95', 'Concessions �9.25', 'Groups of 10+ �8.75', 'Under-16s �6.75                    (including booking fees)', 'Under-5s FREE']\nDetails: https://cornexchangenew.com/event/wildlife-photographer-of-the-year-59 \n\nRecorded at 2023-12-31 17:06:58.014910","The Base Gallery",False
"RB Encore: Macmillan Celebrated",04/14/2024,2:00 PM,04/14/2024,False,"A mixed programme showcasing multiple pieces, created in memory of Stuttgart Ballet's late artistic director, MacMillan�s friend and former Royal Ballet dancer and choreographer John Cranko.\nPrice: ['Full Price �16.75', 'concs �14.75                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/rb-encore-macmillan-triple \n\nRecorded at 2023-12-31 17:06:58.436469","Corn Exchange Cinema",False
"Memory Cafe - Spring 2024",01/17/2024,10:30 AM,04/17/2024,False,"Our monthly Memory Caf�'s are for people living with dementia and their carers.\nPrice: ['free                    (pre-booking required)']\nDetails: https://cornexchangenew.com/event/memory-cafe---spring-2024 \n\nRecorded at 2023-12-31 17:06:58.834386","Corn Exchange, Balcony Bar",False
"Theatre, Film and TV Quiz",02/07/2023,7:00 PM,04/17/2024,False,"Our Theatre Quiz Night is back!\nPrice: ['Full Price �10 per team']\nDetails: https://cornexchangenew.com/event/theatre-film-and-tv-quiz \n\nRecorded at 2023-12-31 17:06:59.258965","Corn Exchange Balcony Bar",False
"Coppelia",04/17/2024,7:30 PM,04/17/2024,False,"See Coppelia as you�ve never seen her before!\nPrice: ['Full Price �28.25', 'Concessions Price �26.25', 'Under - 18s �24.25', 'Schools �16']\nDetails: https://cornexchangenew.com/event/coppelia \n\nRecorded at 2023-12-31 17:06:59.702127","Corn Exchange Auditorium",False
"Touch To See",09/15/2023,Not Stated,04/19/2024,False,"This is a sociable discussion group for those with visual impairments.\nPrice: ['Free                     (pre-booking required)']\nDetails: https://cornexchangenew.com/event/touch_to_see \n\nRecorded at 2023-12-31 17:07:00.575707","The Base, Greenham",False
"The Signatures: Northern Soul Live",04/19/2024,7:45 PM,04/19/2024,False,"This show is an absolute must for Soul loving fans!\nPrice: ['Full Price �28.75 (including booking fees)']\nDetails: https://cornexchangenew.com/event/northern-soul-2 \n\nRecorded at 2023-12-31 17:07:01.014838","Corn Exchange Auditorium",False
"Kaleidoscope",04/19/2024,10:30 AM,04/19/2024,False,"A show inspired by research into how a baby�s sense of sight develops.\nPrice: ['Full Price �13.25 (1 baby and accompanying adult)', 'Additional Adults �6.75                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/kaleidoscope-2 \n\nRecorded at 2023-12-31 17:07:01.931186","Corn Exchange Auditorium",False
"Legends: The Divas",04/19/2024,8:00 PM,04/19/2024,False,"Three icons of music. Six decades of hits. One amazing concert.\nPrice: ['Full Price �30.00', 'Concessions Price �28.00 (including booking fees)']\nDetails: https://cornexchangenew.com/event/legends-the-divas \n\nRecorded at 2023-12-31 17:07:02.595820","Corn Exchange Auditorium",False
"Book Club - Spring 2024",01/21/2024,2:00 PM,04/21/2024,False,"Come together with friends old and new to chat about our latest Book Club read.\nPrice: ['FREE']\nDetails: https://cornexchangenew.com/event/book-club-february-2023 \n\nRecorded at 2023-12-31 17:07:03.053511","Corn Exchange Balcony Bar",False
"Coffee+Click Camera Club",11/27/2023,Not Stated,04/22/2024,False,"Rev up your Monday mornings for the ultimate blend of inspiration, incredible cars, camaraderie and the joy of photography at Podium Place, Newbury.\nPrice: ['free                     (no booking required)']\nDetails: https://cornexchangenew.com/event/coffee-and-click \n\nRecorded at 2023-12-31 17:07:03.970087","Podium Place, Newbury",False
"RB Live: Swan Lake",04/22/2024,7:15 PM,04/22/2024,False,"Tchaikovsky�s sensational score combines with the evocative imagination of choreographer Liam Scarlett in this stunning quintessential ballet classic.\nPrice: ['Full Price �16.75', 'concs �14.25                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/rb-live-swan-lake \n\nRecorded at 2023-12-31 17:07:04.490635","Corn Exchange Cinema",False
"Iain Stirling: RELEVANT",04/22/2024,8:00 PM,04/22/2024,False,"The BAFTA- winning and iconic voice of Love Island, Iain Stirling brings his brand new show RELEVANT on tour.\nPrice: ['Full Price �24.75']\nDetails: https://cornexchangenew.com/event/iain-stirling \n\nRecorded at 2023-12-31 17:07:05.035022","Corn Exchange Auditorium",False
"Stitch and Sew - Spring 2024",01/04/2024,10:00 AM,04/25/2024,False,"Chat and relax as you work on your current project.\nPrice: ['FREE                    (Pre-booking required)']\nDetails: https://cornexchangenew.com/event/stitch-and-sew---spring-2024 \n\nRecorded at 2023-12-31 17:07:05.415913","Corn Exchange, Balcony Bar",False
"Coffee Companions",11/02/2023,Not Stated,04/25/2024,False,"Join us for Coffee Companions, every Thursday morning in our Caf� Bar!\nPrice: ['FREE (NO BOOKING REQUIRED)']\nDetails: https://cornexchangenew.com/event/coffee-companions \n\nRecorded at 2023-12-31 17:07:06.292357","Corn Exchange Caf� Bar",False
"The Importance of Being... Earnest?",04/25/2024,7:00 PM,04/26/2024,False,"You might think you know this chaotic story of love, mistaken identity and double-lives, but you have never seen it like this before...\nPrice: ['Full Price �24.25', '�22.25 concs                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/the-importance-of-being-earnest-2 \n\nRecorded at 2023-12-31 17:07:06.975819","Corn Exchange Auditorium",False
"Andy Parsons: Bafflingly Optimistic",04/26/2024,8:00 PM,04/26/2024,False,"Enjoy a night of laugh-out-loud comedy with Andy Parsons\nPrice: ['Full Price �19.25', 'Concessions Price �17.25 (Including booking fee)']\nDetails: https://cornexchangenew.com/event/andy-parsons-bafflingly-optimistic \n\nRecorded at 2023-12-31 17:07:07.558028","Corn Exchange Auditorium",False
"Sketchbook Club",10/29/2023,Not Stated,04/28/2024,False,"Join us at our drop in Sketchbook Club, open to anyone, everyone, all ages, and abilities, on Sunday mornings in our Balcony Bar.\nPrice: ['']\nDetails: https://cornexchangenew.com/event/sketchbook-club \n\nRecorded at 2023-12-31 17:07:08.473926","Corn Exchange Balcony Bar",False
"ROH Live: Carmen",04/28/2024,6:45 PM,04/28/2024,False,"Aigul Akmetshina performs the title role in Damiano Michieletto's sizzling new production of Bizet�s ever-popular opera.\nPrice: ['Full Price �16.75', 'Concessions Price �14.75 (including booking fees)']\nDetails: https://cornexchangenew.com/event/roh-live-carmen \n\nRecorded at 2023-12-31 17:07:09.039152","Corn Exchange Cinema",False
"Six Chick Flicks",04/28/2024,7:30 PM,04/28/2024,False,"Two actors. Six beloved films. One hilarious parody!\nPrice: ['Full Price �24.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/six-chick-flicks \n\nRecorded at 2023-12-31 17:07:09.592868","Corn Exchange Auditorium",False
"Frankie's Guys",04/28/2024,7:45 PM,04/28/2024,False,"Featuring stars from the global smash-hit musical Jersey Boys, Frankie�s Guys perform all of the Four Seasons� iconic hits!\nPrice: ['Full Price �26.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/frankie-s-guys \n\nRecorded at 2023-12-31 17:07:10.214121","Corn Exchange Auditorium",False
"Griff Rhys Jones: The Cat's Pyjamas",05/08/2024,7:45 PM,05/09/2024,False,"Griff Rhys Jones is back on the road with his much-anticipated brand new stand-up tour. Join Griff as he shares more funny observations and comic stories.\nPrice: ['Full Price �26 (including booking fee)']\nDetails: https://cornexchangenew.com/event/griff-rhys-jones-the-cat-s-pyjamas \n\nRecorded at 2023-12-31 17:07:10.593455","Corn Exchange Auditorium",False
"Rich Hall: Shot From Cannons",05/09/2024,8:00 PM,05/09/2024,False,"You�ll pay for the whole seat, but you�ll only need the edge of it.\nPrice: ['Full Price �19.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/rich-hall-shot-from-cannons-2 \n\nRecorded at 2023-12-31 17:07:11.032635","Corn Exchange Auditorium",False
"Sketch & Stroll in Mortimer",05/09/2024,10:00 AM,05/09/2024,False,"Creative wellbeing walks for Adults 55+ in West Berkshire.\nPrice: ['FREE']\nDetails: https://cornexchangenew.com/event/sketch-stroll-in-mortimer \n\nRecorded at 2023-12-31 17:07:11.401216","Meeting point Mortimer Community Centre",False
"RB Live: The Winter's Tale",05/09/2024,7:15 PM,05/09/2024,False,"Shakespeare�s profound story of love and loss, artfully adapted into a contemporary three-act narrative ballet by Artistic Associate Christopher Wheeldon.\nPrice: ['Full Price �16.75', 'Concessions Price �14.75 (including booking fees)']\nDetails: https://cornexchangenew.com/event/rb-live-the-winter-s-tale \n\nRecorded at 2023-12-31 17:07:11.818295","Corn Exchange Cinema",False
"ROH Encore: Message in a Bottle",05/09/2024,7:20 PM,05/09/2024,False,"The iconic songs of Sting. The electrifying choreography of Kate Prince. This is a tale of hope.\nPrice: ['Full Price �16.75', 'Concessions Price �14.75 (including booking fees)']\nDetails: https://cornexchangenew.com/event/message-in-a-bottle \n\nRecorded at 2023-12-31 17:07:12.226488","Corn Exchange Cinema",False
"Tommy Blaize: Lead Singer on Strictly Come Dancing For 20 Glorious Years",05/09/2024,7:45 PM,05/09/2024,False,"Tommy Blaize has one of the most recognisable voices in the UK.\nPrice: ['Full Price �28.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/tommy-blaize \n\nRecorded at 2023-12-31 17:07:12.629343","Corn Exchange Auditorium",False
"Fireman Sam - The Great Camping Adventure",05/09/2024,12:00 PM,05/09/2024,False,"Brand-new for 2024 Fireman Sam - The Great Camping Adventure. It's up to Fireman Sam to save the day and ensure everyone is safe on their camping adventure!\nPrice: ['Full Price �19.75', 'Concessions Price �18.75', 'family ticket (2 adults & 2 children) 74                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/fireman-sam---the-great-camping-adventure \n\nRecorded at 2023-12-31 17:07:13.058983","Corn Exchange Auditorium",False
"Steve Bugeja: Self Doubt (I Think)",05/09/2024,8:00 PM,05/09/2024,False,"From the creator and star of ITV's hit sitcom, Buffering\nPrice: ['Full Price �14.50 (Including booking fees)']\nDetails: https://cornexchangenew.com/event/steve-bugeja-self-doubt-i-think \n\nRecorded at 2023-12-31 17:07:13.342790","Corn Exchange Auditorium",False
"ROH Encore: Andrea Ch�nier",05/09/2024,2:00 PM,05/09/2024,False,"Jonas Kaufmann headlines David McVicar's spectacular staging of Giordano's epic historical drama.\nPrice: ['Full Price �16.75', 'Concessions Price �14.75 (including booking fees)']\nDetails: https://cornexchangenew.com/event/roh-encore-andrea-chenier \n\nRecorded at 2023-12-31 17:07:13.605158","Corn Exchange Cinema",False
"Rhythm of the Dance",05/09/2024,7:30 PM,05/09/2024,False,"Rhythm of the Dance returns to the UK with a new production as part of its 25th Anniversary global tour.\nPrice: ['Full Price �35 (Including booking fee)']\nDetails: https://cornexchangenew.com/event/rhythm-of-the-dance-2 \n\nRecorded at 2023-12-31 17:07:14.139950","Corn Exchange Auditorium",False
"Home Artists - Mortimer",01/03/2024,10:00 AM,09/03/2024,False,"Create monthly creative projects from the comfort of your own home with our Home Artists project packs.\nPrice: ['FREE']\nDetails: https://cornexchangenew.com/event/home-artists-mortimer \n\nRecorded at 2023-12-31 17:07:14.442736","Collection from Mortimer Library",False
"The Ultimate Boy Band Party Show",09/03/2024,7:45 PM,09/03/2024,False,"Taking you back to the naughty 90�s with 30 number one hits from all your favourite Boy Bands... this time they're Back For Good!\nPrice: ['Full Price �26.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/the-ultimate-boy-band-party-show \n\nRecorded at 2023-12-31 17:07:14.974580","Corn Exchange Auditorium",False
"Carl Hutchinson: Today Years Old",09/03/2024,7:30 PM,09/03/2024,False,"What has quickly became an annual tradition. Carl is back for a third consecutive back-to-back tour.\nPrice: ['Full Price �19.75 (including booking fee)']\nDetails: https://cornexchangenew.com/event/carl-hutchinson-today-years-old \n\nRecorded at 2023-12-31 17:07:15.202736","Corn Exchange Auditorium",False
"Home Artists Lambourn",01/03/2024,10:00 AM,12/04/2024,False,"Create monthly creative projects from the comfort of your own home with our Home Artists project packs.\nPrice: ['FREE']\nDetails: https://cornexchangenew.com/event/home-artists-lambourn \n\nRecorded at 2023-12-31 17:07:15.436410","Lambourn Library",False
"Dick Whittington 2024",11/29/2024,7:00 PM,01/05/2025,False,"The award-winning Plested Brown and Wilsher are back with another #NewburyPanto extravaganza, with the enchanting and dazzling Dick Whittington.\nPrice: ['Full Price �29.75 - �21.50', 'Concessions price �28.75 - �20', 'Preview performances �16', 'Super-saver �21.75 - �18', 'Adult Nights �29.75 - �27.75                    (All prices include booking fee)', 'ages 0 - 18 months �1                    (Babe in arms ticket)']\nDetails: https://cornexchangenew.com/event/dick-whittington-2 \n\nRecorded at 2023-12-31 17:07:15.722885","Corn Exchange Auditorium",False
